0 с,   73.00 м
11455 с,   254797.06 м
11456 с,   254792.61 м
11457 с,   254788.11 м
11458 с,   254783.56 м
11459 с,   254778.97 м
11460 с,   254774.32 м
11461 с,   254769.63 м
11462 с,   254764.90 м
11463 с,   254760.11 м
11464 с,   254755.28 м
11465 с,   254750.41 м
11466 с,   254745.48 м
11467 с,   254740.51 м
11468 с,   254735.49 м
11469 с,   254730.43 м
11470 с,   254725.32 м
11471 с,   254720.16 м
11472 с,   254714.95 м
11473 с,   254709.70 м
11474 с,   254704.40 м
11475 с,   254699.06 м
11476 с,   254693.67 м
11477 с,   254688.23 м
11478 с,   254682.75 м
11479 с,   254677.22 м
11480 с,   254671.64 м
11481 с,   254666.02 м
11482 с,   254660.36 м
11483 с,   254654.64 м
11484 с,   254648.88 м
11485 с,   254643.08 м
11486 с,   254637.23 м
11487 с,   254631.33 м
11488 с,   254625.39 м
11489 с,   254619.40 м
11490 с,   254613.36 м
11491 с,   254607.28 м
11492 с,   254601.16 м
11493 с,   254594.99 м
11494 с,   254588.77 м
11495 с,   254582.51 м
11496 с,   254576.21 м
11497 с,   254569.85 м
11498 с,   254563.46 м
11499 с,   254557.02 м
11500 с,   254550.53 м
11501 с,   254544.00 м
11502 с,   254537.42 м
11503 с,   254530.80 м
11504 с,   254524.14 м
11505 с,   254517.42 м
11506 с,   254510.67 м
11507 с,   254503.87 м
11508 с,   254497.03 м
11509 с,   254490.14 м
11510 с,   254483.21 м
11511 с,   254476.23 м
11512 с,   254469.21 м
11513 с,   254462.14 м
11514 с,   254455.03 м
11515 с,   254447.88 м
11516 с,   254440.68 м
11517 с,   254433.44 м
11518 с,   254426.16 м
11519 с,   254418.83 м
11520 с,   254411.46 м
11521 с,   254404.04 м
11522 с,   254396.58 м
11523 с,   254389.08 м
11524 с,   254381.53 м
11525 с,   254373.94 м
11526 с,   254366.31 м
11527 с,   254358.64 м
11528 с,   254350.92 м
11529 с,   254343.16 м
11530 с,   254335.35 м
11531 с,   254327.51 м
11532 с,   254319.62 м
11533 с,   254311.68 м
11534 с,   254303.71 м
11535 с,   254295.69 м
11536 с,   254287.63 м
11537 с,   254279.53 м
11538 с,   254271.39 м
11539 с,   254263.20 м
11540 с,   254254.97 м
11541 с,   254246.70 м
11542 с,   254238.39 м
11543 с,   254230.04 м
11544 с,   254221.64 м
11545 с,   254213.20 м
11546 с,   254204.72 м
11547 с,   254196.20 м
11548 с,   254187.64 м
11549 с,   254179.04 м
11550 с,   254170.39 м
11551 с,   254161.71 м
11552 с,   254152.98 м
11553 с,   254144.21 м
11554 с,   254135.40 м
11555 с,   254126.55 м
11556 с,   254117.66 м
11557 с,   254108.73 м
11558 с,   254099.76 м
11559 с,   254090.75 м
11560 с,   254081.70 м
11561 с,   254072.60 м
11562 с,   254063.47 м
11563 с,   254054.30 м
11564 с,   254045.08 м
11565 с,   254035.83 м
11566 с,   254026.54 м
11567 с,   254017.21 м
11568 с,   254007.83 м
11569 с,   253998.42 м
11570 с,   253988.97 м
11571 с,   253979.48 м
11572 с,   253969.95 м
11573 с,   253960.38 м
11574 с,   253950.78 м
11575 с,   253941.13 м
11576 с,   253931.44 м
11577 с,   253921.72 м
11578 с,   253911.95 м
11579 с,   253902.15 м
11580 с,   253892.31 м
11581 с,   253882.43 м
11582 с,   253872.52 м
11583 с,   253862.56 м
11584 с,   253852.57 м
11585 с,   253842.53 м
11586 с,   253832.47 м
11587 с,   253822.36 м
11588 с,   253812.21 м
11589 с,   253802.03 м
11590 с,   253791.81 м
11591 с,   253781.55 м
11592 с,   253771.26 м
11593 с,   253760.92 м
11594 с,   253750.56 м
11595 с,   253740.15 м
11596 с,   253729.71 м
11597 с,   253719.23 м
11598 с,   253708.71 м
11599 с,   253698.16 м
11600 с,   253687.57 м
11601 с,   253676.94 м
11602 с,   253666.28 м
11603 с,   253655.58 м
11604 с,   253644.84 м
11605 с,   253634.07 м
11606 с,   253623.27 м
11607 с,   253612.42 м
11608 с,   253601.55 м
11609 с,   253590.63 м
11610 с,   253579.68 м
11611 с,   253568.70 м
11612 с,   253557.68 м
11613 с,   253546.62 м
11614 с,   253535.53 м
11615 с,   253524.41 м
11616 с,   253513.25 м
11617 с,   253502.06 м
11618 с,   253490.83 м
11619 с,   253479.56 м
11620 с,   253468.27 м
11621 с,   253456.93 м
11622 с,   253445.57 м
11623 с,   253434.17 м
11624 с,   253422.74 м
11625 с,   253411.27 м
11626 с,   253399.77 м
11627 с,   253388.23 м
11628 с,   253376.66 м
11629 с,   253365.06 м
11630 с,   253353.43 м
11631 с,   253341.76 м
11632 с,   253330.06 м
11633 с,   253318.33 м
11634 с,   253306.56 м
11635 с,   253294.76 м
11636 с,   253282.93 м
11637 с,   253271.06 м
11638 с,   253259.17 м
11639 с,   253247.24 м
11640 с,   253235.28 м
11641 с,   253223.29 м
11642 с,   253211.26 м
11643 с,   253199.21 м
11644 с,   253187.12 м
11645 с,   253175.00 м
11646 с,   253162.85 м
11647 с,   253150.67 м
11648 с,   253138.46 м
11649 с,   253126.21 м
11650 с,   253113.94 м
11651 с,   253101.63 м
11652 с,   253089.30 м
11653 с,   253076.93 м
11654 с,   253064.54 м
11655 с,   253052.11 м
11656 с,   253039.65 м
11657 с,   253027.16 м
11658 с,   253014.65 м
11659 с,   253002.10 м
11660 с,   252989.52 м
11661 с,   252976.92 м
11662 с,   252964.28 м
11663 с,   252951.62 м
11664 с,   252938.93 м
11665 с,   252926.20 м
11666 с,   252913.45 м
11667 с,   252900.67 м
11668 с,   252887.86 м
11669 с,   252875.03 м
11670 с,   252862.16 м
11671 с,   252849.27 м
11672 с,   252836.34 м
11673 с,   252823.39 м
11674 с,   252810.42 м
11675 с,   252797.41 м
11676 с,   252784.38 м
11677 с,   252771.32 м
11678 с,   252758.23 м
11679 с,   252745.11 м
11680 с,   252731.97 м
11681 с,   252718.80 м
11682 с,   252705.61 м
11683 с,   252692.38 м
11684 с,   252679.13 м
11685 с,   252665.86 м
11686 с,   252652.56 м
11687 с,   252639.23 м
11688 с,   252625.87 м
11689 с,   252612.49 м
11690 с,   252599.09 м
11691 с,   252585.65 м
11692 с,   252572.20 м
11693 с,   252558.72 м
11694 с,   252545.21 м
11695 с,   252531.67 м
11696 с,   252518.12 м
11697 с,   252504.53 м
11698 с,   252490.93 м
11699 с,   252477.29 м
11700 с,   252463.64 м
11701 с,   252449.96 м
11702 с,   252436.25 м
11703 с,   252422.52 м
11704 с,   252408.77 м
11705 с,   252394.99 м
11706 с,   252381.19 м
11707 с,   252367.37 м
11708 с,   252353.52 м
11709 с,   252339.65 м
11710 с,   252325.76 м
11711 с,   252311.84 м
11712 с,   252297.90 м
11713 с,   252283.94 м
11714 с,   252269.95 м
11715 с,   252255.95 м
11716 с,   252241.92 м
11717 с,   252227.86 м
11718 с,   252213.79 м
11719 с,   252199.70 м
11720 с,   252185.58 м
11721 с,   252171.44 м
11722 с,   252157.28 м
11723 с,   252143.10 м
11724 с,   252128.90 м
11725 с,   252114.67 м
11726 с,   252100.43 м
11727 с,   252086.16 м
11728 с,   252071.88 м
11729 с,   252057.57 м
11730 с,   252043.25 м
11731 с,   252028.90 м
11732 с,   252014.53 м
11733 с,   252000.15 м
11734 с,   251985.74 м
11735 с,   251971.31 м
11736 с,   251956.87 м
11737 с,   251942.40 м
11738 с,   251927.92 м
11739 с,   251913.42 м
11740 с,   251898.90 м
11741 с,   251884.36 м
11742 с,   251869.80 м
11743 с,   251855.22 м
11744 с,   251840.62 м
11745 с,   251826.01 м
11746 с,   251811.38 м
11747 с,   251796.73 м
11748 с,   251782.06 м
11749 с,   251767.37 м
11750 с,   251752.67 м
11751 с,   251737.95 м
11752 с,   251723.21 м
11753 с,   251708.46 м
11754 с,   251693.69 м
11755 с,   251678.90 м
11756 с,   251664.10 м
11757 с,   251649.28 м
11758 с,   251634.44 м
11759 с,   251619.59 м
11760 с,   251604.72 м
11761 с,   251589.83 м
11762 с,   251574.93 м
11763 с,   251560.02 м
11764 с,   251545.08 м
11765 с,   251530.14 м
11766 с,   251515.18 м
11767 с,   251500.20 м
11768 с,   251485.21 м
11769 с,   251470.20 м
11770 с,   251455.18 м
11771 с,   251440.15 м
11772 с,   251425.10 м
11773 с,   251410.03 м
11774 с,   251394.96 м
11775 с,   251379.86 м
11776 с,   251364.76 м
11777 с,   251349.64 м
11778 с,   251334.51 м
11779 с,   251319.37 м
11780 с,   251304.21 м
11781 с,   251289.04 м
11782 с,   251273.85 м
11783 с,   251258.66 м
11784 с,   251243.45 м
11785 с,   251228.23 м
11786 с,   251213.00 м
11787 с,   251197.75 м
11788 с,   251182.49 м
11789 с,   251167.23 м
11790 с,   251151.95 м
11791 с,   251136.66 м
11792 с,   251121.35 м
11793 с,   251106.04 м
11794 с,   251090.72 м
11795 с,   251075.38 м
11796 с,   251060.04 м
11797 с,   251044.68 м
11798 с,   251029.31 м
11799 с,   251013.94 м
11800 с,   250998.55 м
11801 с,   250983.15 м
11802 с,   250967.75 м
11803 с,   250952.33 м
11804 с,   250936.91 м
11805 с,   250921.47 м
11806 с,   250906.03 м
11807 с,   250890.58 м
11808 с,   250875.12 м
11809 с,   250859.65 м
11810 с,   250844.17 м
11811 с,   250828.68 м
11812 с,   250813.19 м
11813 с,   250797.68 м
11814 с,   250782.17 м
11815 с,   250766.65 м
11816 с,   250751.13 м
11817 с,   250735.59 м
11818 с,   250720.05 м
11819 с,   250704.51 м
11820 с,   250688.95 м
11821 с,   250673.39 м
11822 с,   250657.82 м
11823 с,   250642.25 м
11824 с,   250626.67 м
11825 с,   250611.08 м
11826 с,   250595.49 м
11827 с,   250579.89 м
11828 с,   250564.28 м
11829 с,   250548.67 м
11830 с,   250533.06 м
11831 с,   250517.43 м
11832 с,   250501.81 м
11833 с,   250486.18 м
11834 с,   250470.54 м
11835 с,   250454.90 м
11836 с,   250439.26 м
11837 с,   250423.61 м
11838 с,   250407.95 м
11839 с,   250392.30 м
11840 с,   250376.63 м
11841 с,   250360.97 м
11842 с,   250345.30 м
11843 с,   250329.63 м
11844 с,   250313.95 м
11845 с,   250298.27 м
11846 с,   250282.59 м
11847 с,   250266.91 м
11848 с,   250251.22 м
11849 с,   250235.53 м
11850 с,   250219.84 м
11851 с,   250204.15 м
11852 с,   250188.45 м
11853 с,   250172.75 м
11854 с,   250157.05 м
11855 с,   250141.35 м
11856 с,   250125.65 м
11857 с,   250109.95 м
11858 с,   250094.24 м
11859 с,   250078.54 м
11860 с,   250062.83 м
11861 с,   250047.12 м
11862 с,   250031.42 м
11863 с,   250015.71 м
11864 с,   250000.00 м
11865 с,   249984.29 м
11866 с,   249968.58 м
11867 с,   249952.88 м
11868 с,   249937.17 м
11869 с,   249921.46 м
11870 с,   249905.76 м
11871 с,   249890.05 м
11872 с,   249874.35 м
11873 с,   249858.65 м
11874 с,   249842.95 м
11875 с,   249827.25 м
11876 с,   249811.55 м
11877 с,   249795.85 м
11878 с,   249780.16 м
11879 с,   249764.47 м
11880 с,   249748.78 м
11881 с,   249733.09 м
11882 с,   249717.41 м
11883 с,   249701.73 м
11884 с,   249686.05 м
11885 с,   249670.37 м
11886 с,   249654.70 м
11887 с,   249639.03 м
11888 с,   249623.37 м
11889 с,   249607.70 м
11890 с,   249592.05 м
11891 с,   249576.39 м
11892 с,   249560.74 м
11893 с,   249545.10 м
11894 с,   249529.46 м
11895 с,   249513.82 м
11896 с,   249498.19 м
11897 с,   249482.57 м
11898 с,   249466.94 м
11899 с,   249451.33 м
11900 с,   249435.72 м
11901 с,   249420.11 м
11902 с,   249404.51 м
11903 с,   249388.92 м
11904 с,   249373.33 м
11905 с,   249357.75 м
11906 с,   249342.18 м
11907 с,   249326.61 м
11908 с,   249311.05 м
11909 с,   249295.49 м
11910 с,   249279.95 м
11911 с,   249264.41 м
11912 с,   249248.87 м
11913 с,   249233.35 м
11914 с,   249217.83 м
11915 с,   249202.32 м
11916 с,   249186.81 м
11917 с,   249171.32 м
11918 с,   249155.83 м
11919 с,   249140.35 м
11920 с,   249124.88 м
11921 с,   249109.42 м
11922 с,   249093.97 м
11923 с,   249078.53 м
11924 с,   249063.09 м
11925 с,   249047.67 м
11926 с,   249032.25 м
11927 с,   249016.85 м
11928 с,   249001.45 м
11929 с,   248986.06 м
11930 с,   248970.69 м
11931 с,   248955.32 м
11932 с,   248939.96 м
11933 с,   248924.62 м
11934 с,   248909.28 м
11935 с,   248893.96 м
11936 с,   248878.65 м
11937 с,   248863.34 м
11938 с,   248848.05 м
11939 с,   248832.77 м
11940 с,   248817.51 м
11941 с,   248802.25 м
11942 с,   248787.00 м
11943 с,   248771.77 м
11944 с,   248756.55 м
11945 с,   248741.34 м
11946 с,   248726.15 м
11947 с,   248710.96 м
11948 с,   248695.79 м
11949 с,   248680.63 м
11950 с,   248665.49 м
11951 с,   248650.36 м
11952 с,   248635.24 м
11953 с,   248620.14 м
11954 с,   248605.04 м
11955 с,   248589.97 м
11956 с,   248574.90 м
11957 с,   248559.85 м
11958 с,   248544.82 м
11959 с,   248529.80 м
11960 с,   248514.79 м
11961 с,   248499.80 м
11962 с,   248484.82 м
11963 с,   248469.86 м
11964 с,   248454.92 м
11965 с,   248439.98 м
11966 с,   248425.07 м
11967 с,   248410.17 м
11968 с,   248395.28 м
11969 с,   248380.41 м
11970 с,   248365.56 м
11971 с,   248350.72 м
11972 с,   248335.90 м
11973 с,   248321.10 м
11974 с,   248306.31 м
11975 с,   248291.54 м
11976 с,   248276.79 м
11977 с,   248262.05 м
11978 с,   248247.33 м
11979 с,   248232.63 м
11980 с,   248217.94 м
11981 с,   248203.27 м
11982 с,   248188.62 м
11983 с,   248173.99 м
11984 с,   248159.38 м
11985 с,   248144.78 м
11986 с,   248130.20 м
11987 с,   248115.64 м
11988 с,   248101.10 м
11989 с,   248086.58 м
11990 с,   248072.08 м
11991 с,   248057.60 м
11992 с,   248043.13 м
11993 с,   248028.69 м
11994 с,   248014.26 м
11995 с,   247999.85 м
11996 с,   247985.47 м
11997 с,   247971.10 м
11998 с,   247956.75 м
11999 с,   247942.43 м
12000 с,   247928.12 м
12001 с,   247913.84 м
12002 с,   247899.57 м
12003 с,   247885.33 м
12004 с,   247871.10 м
12005 с,   247856.90 м
12006 с,   247842.72 м
12007 с,   247828.56 м
12008 с,   247814.42 м
12009 с,   247800.30 м
12010 с,   247786.21 м
12011 с,   247772.14 м
12012 с,   247758.08 м
12013 с,   247744.05 м
12014 с,   247730.05 м
12015 с,   247716.06 м
12016 с,   247702.10 м
12017 с,   247688.16 м
12018 с,   247674.24 м
12019 с,   247660.35 м
12020 с,   247646.48 м
12021 с,   247632.63 м
12022 с,   247618.81 м
12023 с,   247605.01 м
12024 с,   247591.23 м
12025 с,   247577.48 м
12026 с,   247563.75 м
12027 с,   247550.04 м
12028 с,   247536.36 м
12029 с,   247522.71 м
12030 с,   247509.07 м
12031 с,   247495.47 м
12032 с,   247481.88 м
12033 с,   247468.33 м
12034 с,   247454.79 м
12035 с,   247441.28 м
12036 с,   247427.80 м
12037 с,   247414.35 м
12038 с,   247400.91 м
12039 с,   247387.51 м
12040 с,   247374.13 м
12041 с,   247360.77 м
12042 с,   247347.44 м
12043 с,   247334.14 м
12044 с,   247320.87 м
12045 с,   247307.62 м
12046 с,   247294.39 м
12047 с,   247281.20 м
12048 с,   247268.03 м
12049 с,   247254.89 м
12050 с,   247241.77 м
12051 с,   247228.68 м
12052 с,   247215.62 м
12053 с,   247202.59 м
12054 с,   247189.58 м
12055 с,   247176.61 м
12056 с,   247163.66 м
12057 с,   247150.73 м
12058 с,   247137.84 м
12059 с,   247124.97 м
12060 с,   247112.14 м
12061 с,   247099.33 м
12062 с,   247086.55 м
12063 с,   247073.80 м
12064 с,   247061.07 м
12065 с,   247048.38 м
12066 с,   247035.72 м
12067 с,   247023.08 м
12068 с,   247010.48 м
12069 с,   246997.90 м
12070 с,   246985.35 м
12071 с,   246972.84 м
12072 с,   246960.35 м
12073 с,   246947.89 м
12074 с,   246935.46 м
12075 с,   246923.07 м
12076 с,   246910.70 м
12077 с,   246898.37 м
12078 с,   246886.06 м
12079 с,   246873.79 м
12080 с,   246861.54 м
12081 с,   246849.33 м
12082 с,   246837.15 м
12083 с,   246825.00 м
12084 с,   246812.88 м
12085 с,   246800.79 м
12086 с,   246788.74 м
12087 с,   246776.71 м
12088 с,   246764.72 м
12089 с,   246752.76 м
12090 с,   246740.83 м
12091 с,   246728.94 м
12092 с,   246717.07 м
12093 с,   246705.24 м
12094 с,   246693.44 м
12095 с,   246681.67 м
12096 с,   246669.94 м
12097 с,   246658.24 м
12098 с,   246646.57 м
12099 с,   246634.94 м
12100 с,   246623.34 м
12101 с,   246611.77 м
12102 с,   246600.23 м
12103 с,   246588.73 м
12104 с,   246577.26 м
12105 с,   246565.83 м
12106 с,   246554.43 м
12107 с,   246543.07 м
12108 с,   246531.73 м
12109 с,   246520.44 м
